Health Workforce Data

"National Health Workforce Dataset"
"Professions, Year, ASGS 2021, Job Area and Summation Options by Workforce Status"
"Counting: Number of Practitioners, FTE Total"

Filters:
"Workforce Status","Employed in Australia working in  registered profession"


"Professions","Year","ASGS 2021","Job Area","Summation Options",
,,,,"FTE Total",95.7,
,,,"Specialist-in-training","Number of Practitioners",39,
,,,,"FTE Total",40.6,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",3.1,
,,"Belmont - Victoria Park","General practitioner (GP)","Number of Practitioners",70,
,,,,"FTE Total",62.6,
,,,"Specialist","Number of Practitioners",15,
,,,,"FTE Total",15.8,
,,,"Specialist-in-training","Number of Practitioners",12,
,,,,"FTE Total",11.7,
,,,"Other clinician","Number of Practitioners",10,
,,,,"FTE Total",10.4,
,,,"Non-clinician","Number of Practitioners",3,
,,"Canning","General practitioner (GP)","Number of Practitioners",163,
,,,,"FTE Total",141.8,
,,,"Hospital non-specialist","Number of Practitioners",13,
,,,,"FTE Total",15.4,
,,,"Specialist","Number of Practitioners",38,
,,,,"FTE Total",37.8,
,,,"Specialist-in-training","Number of Practitioners",25,
,,,,"FTE Total",24.9,
,,,"Other clinician","Number of Practitioners",7,
,,,,"FTE Total",6.8,
,,,"Non-clinician","Number of Practitioners",4,
,,,,"FTE Total",3.0,
,,"Gosnells","General practitioner (GP)","Number of Practitioners",99,
,,,,"FTE Total",94.4,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist","Number of Practitioners",7,
,,,,"FTE Total",6.6,
,,,"Specialist-in-training","Number of Practitioners",9,
,,,,"FTE Total",7.9,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Kalamunda","General practitioner (GP)","Number of Practitioners",61,
,,,,"FTE Total",56.5,
,,,"Specialist","Number of Practitioners",6,
,,,,"FTE Total",4.3,
,,,"Specialist-in-training","Number of Practitioners",7,
,,,,"FTE Total",7.5,
,,,"Other clinician","FTE Total",3.0,
,,"Serpentine - Jarrahdale","General practitioner (GP)","Number of Practitioners",18,
,,,,"FTE Total",17.1,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,,"FTE Total",3.1,
,,"South Perth","General practitioner (GP)","Number of Practitioners",34,
,,,,"FTE Total",29.4,
,,,"Hospital non-specialist","FTE Total",3.0,
,,,"Specialist","Number of Practitioners",25,
,,,,"FTE Total",24.2,
,,,"Specialist-in-training","Number of Practitioners",6,
,,,,"FTE Total",5.7,
,,,"Other clinician","Number of Practitioners",5,
,,,,"FTE Total",3.8,
,,"Cockburn","General practitioner (GP)","Number of Practitioners",115,
,,,,"FTE Total",108.0,
,,,"Hospital non-specialist","FTE Total",3.0,
,,,"Specialist","Number of Practitioners",18,
,,,,"FTE Total",16.3,
,,,"Specialist-in-training","Number of Practitioners",26,
,,,,"FTE Total",23.4,
,,,"Other clinician","Number of Practitioners",11,
,,,,"FTE Total",10.8,
,,"Fremantle","General practitioner (GP)","Number of Practitioners",97,
,,,,"FTE Total",79.7,
,,,"Hospital non-specialist","Number of Practitioners",41,
,,,,"FTE Total",45.5,
,,,"Specialist","Number of Practitioners",75,
,,,,"FTE Total",70.2,
,,,"Specialist-in-training","Number of Practitioners",28,
,,,,"FTE Total",32.8,
,,,"Other clinician","Number of Practitioners",6,
,,,,"FTE Total",3.3,
,,,"Non-clinician","Number of Practitioners",6,
,,,,"FTE Total",4.4,
,,"Kwinana","General practitioner (GP)","Number of Practitioners",31,
,,,,"FTE Total",30.2,
,,,"Specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist-in-training","Number of Practitioners",9,
,,,,"FTE Total",9.0,
,,,"Other clinician","FTE Total",3.0,
,,"Melville","General practitioner (GP)","Number of Practitioners",170,
,,,,"FTE Total",140.6,
,,,"Hospital non-specialist","Number of Practitioners",239,
,,,,"FTE Total",280.3,
,,,"Specialist","Number of Practitioners",599,
,,,,"FTE Total",660.4,
,,,"Specialist-in-training","Number of Practitioners",221,
,,,,"FTE Total",249.9,
,,,"Other clinician","Number of Practitioners",32,
,,,,"FTE Total",30.1,
,,,"Non-clinician","Number of Practitioners",5,
,,,,"FTE Total",4.0,
,,"Rockingham","General practitioner (GP)","Number of Practitioners",134,
,,,,"FTE Total",133.1,
,,,"Hospital non-specialist","Number of Practitioners",57,
,,,,"FTE Total",62.9,
,,,"Specialist","Number of Practitioners",102,
,,,,"FTE Total",103.7,
,,,"Specialist-in-training","Number of Practitioners",38,
,,,,"FTE Total",39.9,
,,,"Other clinician","Number of Practitioners",9,
,,,,"FTE Total",9.4,
,,"Albany","General practitioner (GP)","Number of Practitioners",86,
,,,,"FTE Total",83.5,
,,,"Hospital non-specialist","Number of Practitioners",16,
,,,,"FTE Total",17.0,
,,,"Specialist","Number of Practitioners",39,
,,,,"FTE Total",42.9,
,,,"Specialist-in-training","Number of Practitioners",22,
,,,,"FTE Total",21.5,
,,,"Other clinician","Number of Practitioners",5,
,,,,"FTE Total",3.6,
,,,"Non-clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Wheat Belt - North","General practitioner (GP)","Number of Practitioners",53,
,,,,"FTE Total",52.6,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist","Number of Practitioners",8,
,,,,"FTE Total",8.6,
,,,"Specialist-in-training","Number of Practitioners",8,
,,,,"FTE Total",7.7,
,,,"Other clinician","FTE Total",3.0,
,,,"Non-clinician","Number of Practitioners",3,
,,"Wheat Belt - South","General practitioner (GP)","Number of Practitioners",17,
,,,,"FTE Total",21.0,
,,,"Specialist","Number of Practitioners",3,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,,"FTE Total",3.4,
,,"Kimberley","General practitioner (GP)","Number of Practitioners",93,
,,,,"FTE Total",99.9,
,,,"Hospital non-specialist","Number of Practitioners",25,
,,,,"FTE Total",27.1,
,,,"Specialist","Number of Practitioners",43,
,,,,"FTE Total",51.1,
,,,"Specialist-in-training","Number of Practitioners",28,
,,,,"FTE Total",30.3,
,,,"Other clinician","Number of Practitioners",10,
,,,,"FTE Total",14.4,
,,,"Non-clinician","Number of Practitioners",3,
,,"East Pilbara","General practitioner (GP)","Number of Practitioners",34,
,,,,"FTE Total",42.0,
,,,"Hospital non-specialist","Number of Practitioners",11,
,,,,"FTE Total",12.4,
,,,"Specialist","Number of Practitioners",16,
,,,,"FTE Total",20.9,
,,,"Specialist-in-training","Number of Practitioners",5,
,,,,"FTE Total",6.2,
,,,"Other clinician","Number of Practitioners",4,
,,,,"FTE Total",7.4,
,,,"Non-clinician","FTE Total",3.0,
,,"West Pilbara","General practitioner (GP)","Number of Practitioners",28,
,,,,"FTE Total",31.1,
,,,"Hospital non-specialist","Number of Practitioners",9,
,,,,"FTE Total",11.3,
,,,"Specialist","Number of Practitioners",7,
,,,,"FTE Total",9.2,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",3.6,
,,"Esperance","General practitioner (GP)","Number of Practitioners",21,
,,,,"FTE Total",23.4,
,,,"Hospital non-specialist","Number of Practitioners",4,
,,,,"FTE Total",4.0,
,,,"Specialist","Number of Practitioners",3,
,,,,"FTE Total",3.5,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Gascoyne","General practitioner (GP)","Number of Practitioners",17,
,,,,"FTE Total",20.6,
,,,"Hospital non-specialist","Number of Practitioners",4,
,,,,"FTE Total",5.3,
,,,"Specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Other clinician","FTE Total",3.6,
,,,"Non-clinician","FTE Total",3.0,
,,"Goldfields","General practitioner (GP)","Number of Practitioners",43,
,,,,"FTE Total",45.1,
,,,"Hospital non-specialist","Number of Practitioners",18,
,,,,"FTE Total",23.8,
,,,"Specialist","Number of Practitioners",29,
,,,,"FTE Total",33.2,
,,,"Specialist-in-training","Number of Practitioners",7,
,,,,"FTE Total",7.3,
,,,"Other clinician","Number of Practitioners",4,
,,,,"FTE Total",4.2,
,,,"Non-clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Mid West","General practitioner (GP)","Number of Practitioners",63,
,,,,"FTE Total",68.5,
,,,"Hospital non-specialist","Number of Practitioners",29,
,,,,"FTE Total",34.4,
,,,"Specialist","Number of Practitioners",33,
,,,,"FTE Total",37.3,
,,,"Specialist-in-training","Number of Practitioners",15,
,,,,"FTE Total",15.5,
,,,"Other clinician","Number of Practitioners",6,
,,,,"FTE Total",5.8,
,,,"Non-clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,"2020","Augusta - Margaret River - Busselton","General practitioner (GP)","Number of Practitioners",94,
,,,,"FTE Total",81.6,
,,,"Hospital non-specialist","Number of Practitioners",21,
,,,,"FTE Total",21.6,
,,,"Specialist","Number of Practitioners",21,
,,,,"FTE Total",19.9,
,,,"Specialist-in-training","Number of Practitioners",10,
,,,,"FTE Total",8.9,
,,,"Other clinician","Number of Practitioners",3,
,,"Bunbury","General practitioner (GP)","Number of Practitioners",128,
,,,,"FTE Total",129.9,
,,,"Hospital non-specialist","Number of Practitioners",64,
,,,,"FTE Total",68.5,
,,,"Specialist","Number of Practitioners",119,
,,,,"FTE Total",129.7,
,,,"Specialist-in-training","Number of Practitioners",50,
,,,,"FTE Total",52.4,
,,,"Other clinician","Number of Practitioners",12,
,,,,"FTE Total",13.5,
,,,"Non-clinician","Number of Practitioners",3,
,,,,"FTE Total",7.3,
,,"Manjimup","General practitioner (GP)","Number of Practitioners",24,
,,,,"FTE Total",25.2,
,,,"Specialist","Number of Practitioners",3,
,,,,"FTE Total",4.3,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Other clinician","FTE Total",3.0,
,,"Mandurah","General practitioner (GP)","Number of Practitioners",128,
,,,,"FTE Total",121.9,
,,,"Hospital non-specialist","Number of Practitioners",22,
,,,,"FTE Total",21.8,
,,,"Specialist","Number of Practitioners",56,
,,,,"FTE Total",59.6,
,,,"Specialist-in-training","Number of Practitioners",36,
,,,,"FTE Total",29.6,
,,,"Other clinician","Number of Practitioners",5,
,,,,"FTE Total",3.0,
,,"Cottesloe - Claremont","General practitioner (GP)","Number of Practitioners",152,
,,,,"FTE Total",120.4,
,,,"Hospital non-specialist","Number of Practitioners",291,
,,,,"FTE Total",324.8,
,,,"Specialist","Number of Practitioners",864,
,,,,"FTE Total",927.4,
,,,"Specialist-in-training","Number of Practitioners",362,
,,,,"FTE Total",413.1,
,,,"Other clinician","Number of Practitioners",52,
,,,,"FTE Total",54.4,
,,,"Non-clinician","Number of Practitioners",32,
,,,,"FTE Total",24.9,
,,"Perth City","General practitioner (GP)","Number of Practitioners",279,
,,,,"FTE Total",223.8,
,,,"Hospital non-specialist","Number of Practitioners",306,
,,,,"FTE Total",343.6,
,,,"Specialist","Number of Practitioners",1025,
,,,,"FTE Total",1090.0,
,,,"Specialist-in-training","Number of Practitioners",346,
,,,,"FTE Total",381.5,
,,,"Other clinician","Number of Practitioners",92,
,,,,"FTE Total",80.0,
,,,"Non-clinician","Number of Practitioners",37,
,,,,"FTE Total",34.3,
,,"Bayswater - Bassendean","General practitioner (GP)","Number of Practitioners",83,
,,,,"FTE Total",74.5,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,"Specialist","Number of Practitioners",8,
,,,,"FTE Total",7.3,
,,,"Specialist-in-training","Number of Practitioners",8,
,,,,"FTE Total",6.7,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Mundaring","General practitioner (GP)","Number of Practitioners",38,
,,,,"FTE Total",36.8,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Non-clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Swan","General practitioner (GP)","Number of Practitioners",158,
,,,,"FTE Total",144.0,
,,,"Hospital non-specialist","Number of Practitioners",97,
,,,,"FTE Total",104.1,
,,,"Specialist","Number of Practitioners",150,
,,,,"FTE Total",151.3,
,,,"Specialist-in-training","Number of Practitioners",93,
,,,,"FTE Total",93.2,
,,,"Other clinician","Number of Practitioners",13,
,,,,"FTE Total",12.2,
,,,"Non-clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Joondalup","General practitioner (GP)","Number of Practitioners",225,
,,,,"FTE Total",187.9,
,,,"Hospital non-specialist","Number of Practitioners",125,
,,,,"FTE Total",140.6,
,,,"Specialist","Number of Practitioners",234,
,,,,"FTE Total",252.4,
,,,"Specialist-in-training","Number of Practitioners",119,
,,,,"FTE Total",125.2,
,,,"Other clinician","Number of Practitioners",21,
,,,,"FTE Total",21.1,
,,,"Non-clinician","Number of Practitioners",4,
,,,,"FTE Total",3.9,
,,"Stirling","General practitioner (GP)","Number of Practitioners",183,
,,,,"FTE Total",159.2,
,,,"Hospital non-specialist","Number of Practitioners",22,
,,,,"FTE Total",22.8,
,,,"Specialist","Number of Practitioners",101,
,,,,"FTE Total",90.5,
,,,"Specialist-in-training","Number of Practitioners",23,
,,,,"FTE Total",26.6,
,,,"Other clinician","Number of Practitioners",8,
,,,,"FTE Total",5.3,
,,,"Non-clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Wanneroo","General practitioner (GP)","Number of Practitioners",220,
,,,,"FTE Total",198.5,
,,,"Hospital non-specialist","Number of Practitioners",5,
,,,,"FTE Total",5.0,
,,,"Specialist","Number of Practitioners",20,
,,,,"FTE Total",18.7,
,,,"Specialist-in-training","Number of Practitioners",15,
,,,,"FTE Total",13.0,
,,"Armadale","General practitioner (GP)","Number of Practitioners",84,
,,,,"FTE Total",83.9,
,,,"Hospital non-specialist","Number of Practitioners",59,
,,,,"FTE Total",62.4,
,,,"Specialist","Number of Practitioners",90,
,,,,"FTE Total",96.1,
,,,"Specialist-in-training","Number of Practitioners",30,
,,,,"FTE Total",33.0,
,,,"Other clinician","Number of Practitioners",7,
,,,,"FTE Total",7.8,
,,"Belmont - Victoria Park","General practitioner (GP)","Number of Practitioners",79,
,,,,"FTE Total",63.7,
,,,"Hospital non-specialist","FTE Total",3.0,
,,,"Specialist","Number of Practitioners",14,
,,,,"FTE Total",15.3,
,,,"Specialist-in-training","Number of Practitioners",14,
,,,,"FTE Total",13.0,
,,,"Other clinician","Number of Practitioners",7,
,,,,"FTE Total",4.3,
,,"Canning","General practitioner (GP)","Number of Practitioners",183,
,,,,"FTE Total",156.5,
,,,"Hospital non-specialist","Number of Practitioners",20,
,,,,"FTE Total",22.1,
,,,"Specialist","Number of Practitioners",47,
,,,,"FTE Total",46.5,
,,,"Specialist-in-training","Number of Practitioners",15,
,,,,"FTE Total",12.5,
,,,"Other clinician","Number of Practitioners",4,
,,,,"FTE Total",3.9,
,,,"Non-clinician","Number of Practitioners",6,
,,,,"FTE Total",3.5,
,,"Gosnells","General practitioner (GP)","Number of Practitioners",99,
,,,,"FTE Total",92.4,
,,,"Specialist","Number of Practitioners",9,
,,,,"FTE Total",7.6,
,,,"Specialist-in-training","Number of Practitioners",14,
,,,,"FTE Total",12.2,
,,,"Other clinician","Number of Practitioners",3,
,,"Kalamunda","General practitioner (GP)","Number of Practitioners",64,
,,,,"FTE Total",58.2,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,"Specialist","Number of Practitioners",4,
,,,,"FTE Total",5.3,
,,,"Specialist-in-training","Number of Practitioners",4,
,,,,"FTE Total",3.0,
,,"Serpentine - Jarrahdale","General practitioner (GP)","Number of Practitioners",23,
,,,,"FTE Total",21.5,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,"Specialist-in-training","Number of Practitioners",4,
,,,,"FTE Total",3.6,
,,"South Perth","General practitioner (GP)","Number of Practitioners",39,
,,,,"FTE Total",33.4,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,,"FTE Total",4.3,
,,,"Specialist","Number of Practitioners",33,
,,,,"FTE Total",31.6,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Other clinician","Number of Practitioners",5,
,,,,"FTE Total",3.9,
,,,"Non-clinician","Number of Practitioners",3,
,,"Cockburn","General practitioner (GP)","Number of Practitioners",116,
,,,,"FTE Total",109.9,
,,,"Hospital non-specialist","Number of Practitioners",4,
,,,,"FTE Total",5.8,
,,,"Specialist","Number of Practitioners",21,
,,,,"FTE Total",18.8,
,,,"Specialist-in-training","Number of Practitioners",23,
,,,,"FTE Total",20.6,
,,,"Other clinician","Number of Practitioners",7,
,,,,"FTE Total",6.5,
,,,"Non-clinician","Number of Practitioners",3,
,,"Fremantle","General practitioner (GP)","Number of Practitioners",94,
,,,,"FTE Total",72.6,
,,,"Hospital non-specialist","Number of Practitioners",38,
,,,,"FTE Total",43.4,
,,,"Specialist","Number of Practitioners",79,
,,,,"FTE Total",74.8,
,,,"Specialist-in-training","Number of Practitioners",30,
,,,,"FTE Total",31.9,
,,,"Other clinician","Number of Practitioners",11,
,,,,"FTE Total",9.8,
,,,"Non-clinician","Number of Practitioners",7,
,,,,"FTE Total",5.2,
,,"Kwinana","General practitioner (GP)","Number of Practitioners",32,
,,,,"FTE Total",29.8,
,,,"Specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist-in-training","Number of Practitioners",7,
,,,,"FTE Total",7.2,
,,,"Other clinician","FTE Total",3.0,
,,"Melville","General practitioner (GP)","Number of Practitioners",180,
,,,,"FTE Total",147.3,
,,,"Hospital non-specialist","Number of Practitioners",243,
,,,,"FTE Total",288.0,
,,,"Specialist","Number of Practitioners",615,
,,,,"FTE Total",648.6,
,,,"Specialist-in-training","Number of Practitioners",268,
,,,,"FTE Total",304.8,
,,,"Other clinician","Number of Practitioners",26,
,,,,"FTE Total",23.4,
,,,"Non-clinician","Number of Practitioners",8,
,,,,"FTE Total",8.6,
,,"Rockingham","General practitioner (GP)","Number of Practitioners",138,
,,,,"FTE Total",132.1,
,,,"Hospital non-specialist","Number of Practitioners",59,
,,,,"FTE Total",66.3,
,,,"Specialist","Number of Practitioners",102,
,,,,"FTE Total",102.3,
,,,"Specialist-in-training","Number of Practitioners",46,
,,,,"FTE Total",48.6,
,,,"Other clinician","Number of Practitioners",8,
,,,,"FTE Total",7.0,
,,"Albany","General practitioner (GP)","Number of Practitioners",91,
,,,,"FTE Total",90.1,
,,,"Hospital non-specialist","Number of Practitioners",18,
,,,,"FTE Total",18.7,
,,,"Specialist","Number of Practitioners",45,
,,,,"FTE Total",48.6,
,,,"Specialist-in-training","Number of Practitioners",29,
,,,,"FTE Total",30.5,
,,,"Other clinician","Number of Practitioners",7,
,,,,"FTE Total",5.9,
,,,"Non-clinician","Number of Practitioners",6,
,,,,"FTE Total",6.2,
,,"Wheat Belt - North","General practitioner (GP)","Number of Practitioners",50,
,,,,"FTE Total",48.5,
,,,"Hospital non-specialist","Number of Practitioners",5,
,,,,"FTE Total",5.5,
,,,"Specialist","Number of Practitioners",5,
,,,,"FTE Total",5.2,
,,,"Specialist-in-training","Number of Practitioners",5,
,,,,"FTE Total",4.5,
,,,"Other clinician","Number of Practitioners",3,
,,,"Non-clinician","Number of Practitioners",3,
,,"Wheat Belt - South","General practitioner (GP)","Number of Practitioners",19,
,,,,"FTE Total",19.9,
,,,"Hospital non-specialist","FTE Total",3.0,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Other clinician","FTE Total",3.0,
,,"Kimberley","General practitioner (GP)","Number of Practitioners",97,
,,,,"FTE Total",103.5,
,,,"Hospital non-specialist","Number of Practitioners",24,
,,,,"FTE Total",27.4,
,,,"Specialist","Number of Practitioners",44,
,,,,"FTE Total",51.8,
,,,"Specialist-in-training","Number of Practitioners",25,
,,,,"FTE Total",25.4,
,,,"Other clinician","Number of Practitioners",7,
,,,,"FTE Total",9.1,
,,,"Non-clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"East Pilbara","General practitioner (GP)","Number of Practitioners",24,
,,,,"FTE Total",27.4,
,,,"Hospital non-specialist","Number of Practitioners",9,
,,,,"FTE Total",9.9,
,,,"Specialist","Number of Practitioners",18,
,,,,"FTE Total",23.6,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,,"FTE Total",3.1,
,,,"Other clinician","Number of Practitioners",5,
,,,,"FTE Total",6.5,
,,"West Pilbara","General practitioner (GP)","Number of Practitioners",33,
,,,,"FTE Total",40.5,
,,,"Hospital non-specialist","Number of Practitioners",14,
,,,,"FTE Total",15.7,
,,,"Specialist","Number of Practitioners",7,
,,,,"FTE Total",8.1,
,,,"Specialist-in-training","FTE Total",3.0,
,,,"Other clinician","Number of Practitioners",4,
,,,,"FTE Total",4.3,
,,"Esperance","General practitioner (GP)","Number of Practitioners",23,
,,,,"FTE Total",23.0,
,,,"Specialist","Number of Practitioners",5,
,,,,"FTE Total",6.6,
,,,"Specialist-in-training","Number of Practitioners",4,
,,,,"FTE Total",4.0,
,,"Gascoyne","General practitioner (GP)","Number of Practitioners",17,
,,,,"FTE Total",17.0,
,,,"Specialist","Number of Practitioners",8,
,,,,"FTE Total",11.6,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Goldfields","General practitioner (GP)","Number of Practitioners",42,
,,,,"FTE Total",47.7,
,,,"Hospital non-specialist","Number of Practitioners",22,
,,,,"FTE Total",29.4,
,,,"Specialist","Number of Practitioners",24,
,,,,"FTE Total",26.7,
,,,"Specialist-in-training","Number of Practitioners",8,
,,,,"FTE Total",9.8,
,,,"Non-clinician","FTE Total",3.0,
,,"Mid West","General practitioner (GP)","Number of Practitioners",60,
,,,,"FTE Total",68.6,
,,,"Hospital non-specialist","Number of Practitioners",36,
,,,,"FTE Total",41.0,
,,,"Specialist","Number of Practitioners",35,
,,,,"FTE Total",39.3,
,,,"Specialist-in-training","Number of Practitioners",24,
,,,,"FTE Total",25.5,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",3.8,
,"2021","Augusta - Margaret River - Busselton","General practitioner (GP)","Number of Practitioners",102,
,,,,"FTE Total",88.5,
,,,"Hospital non-specialist","Number of Practitioners",20,
,,,,"FTE Total",20.2,
,,,"Specialist","Number of Practitioners",28,
,,,,"FTE Total",29.3,
,,,"Specialist-in-training","Number of Practitioners",15,
,,,,"FTE Total",13.7,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",3.5,
,,"Bunbury","General practitioner (GP)","Number of Practitioners",134,
,,,,"FTE Total",130.3,
,,,"Hospital non-specialist","Number of Practitioners",77,
,,,,"FTE Total",86.6,
,,,"Specialist","Number of Practitioners",123,
,,,,"FTE Total",136.7,
,,,"Specialist-in-training","Number of Practitioners",54,
,,,,"FTE Total",57.4,
,,,"Other clinician","Number of Practitioners",10,
,,,,"FTE Total",8.4,
,,,"Non-clinician","Number of Practitioners",5,
,,,,"FTE Total",5.2,
,,"Manjimup","General practitioner (GP)","Number of Practitioners",23,
,,,,"FTE Total",24.9,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Mandurah","General practitioner (GP)","Number of Practitioners",124,
,,,,"FTE Total",120.0,
,,,"Hospital non-specialist","Number of Practitioners",31,
,,,,"FTE Total",35.3,
,,,"Specialist","Number of Practitioners",58,
,,,,"FTE Total",62.4,
,,,"Specialist-in-training","Number of Practitioners",25,
,,,,"FTE Total",22.3,
,,,"Other clinician","Number of Practitioners",8,
,,,,"FTE Total",5.5,
,,"Cottesloe - Claremont","General practitioner (GP)","Number of Practitioners",161,
,,,,"FTE Total",128.7,
,,,"Hospital non-specialist","Number of Practitioners",321,
,,,,"FTE Total",350.8,
,,,"Specialist","Number of Practitioners",916,
,,,,"FTE Total",982.4,
,,,"Specialist-in-training","Number of Practitioners",374,
,,,,"FTE Total",421.8,
,,,"Other clinician","Number of Practitioners",52,
,,,,"FTE Total",50.9,
,,,"Non-clinician","Number of Practitioners",36,
,,,,"FTE Total",23.6,
,,"Perth City","General practitioner (GP)","Number of Practitioners",298,
,,,,"FTE Total",243.2,
,,,"Hospital non-specialist","Number of Practitioners",332,
,,,,"FTE Total",359.2,
,,,"Specialist","Number of Practitioners",1081,
,,,,"FTE Total",1156.3,
,,,"Specialist-in-training","Number of Practitioners",315,
,,,,"FTE Total",342.1,
,,,"Other clinician","Number of Practitioners",102,
,,,,"FTE Total",92.1,
,,,"Non-clinician","Number of Practitioners",41,
,,,,"FTE Total",39.6,
,,"Bayswater - Bassendean","General practitioner (GP)","Number of Practitioners",81,
,,,,"FTE Total",72.5,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,,"FTE Total",3.9,
,,,"Specialist","Number of Practitioners",6,
,,,,"FTE Total",6.3,
,,,"Specialist-in-training","Number of Practitioners",5,
,,,,"FTE Total",3.9,
,,"Mundaring","General practitioner (GP)","Number of Practitioners",39,
,,,,"FTE Total",37.3,
,,,"Specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Other clinician","Number of Practitioners",3,
,,"Swan","General practitioner (GP)","Number of Practitioners",169,
,,,,"FTE Total",154.4,
,,,"Hospital non-specialist","Number of Practitioners",111,
,,,,"FTE Total",116.0,
,,,"Specialist","Number of Practitioners",164,
,,,,"FTE Total",158.2,
,,,"Specialist-in-training","Number of Practitioners",80,
,,,,"FTE Total",78.1,
,,,"Other clinician","Number of Practitioners",10,
,,,,"FTE Total",10.0,
,,,"Non-clinician","Number of Practitioners",4,
,,,,"FTE Total",3.0,
,,"Joondalup","General practitioner (GP)","Number of Practitioners",225,
,,,,"FTE Total",195.6,
,,,"Hospital non-specialist","Number of Practitioners",130,
,,,,"FTE Total",144.4,
,,,"Specialist","Number of Practitioners",235,
,,,,"FTE Total",253.3,
,,,"Specialist-in-training","Number of Practitioners",97,
,,,,"FTE Total",99.1,
,,,"Other clinician","Number of Practitioners",25,
,,,,"FTE Total",23.4,
,,,"Non-clinician","Number of Practitioners",3,
,,"Stirling","General practitioner (GP)","Number of Practitioners",184,
,,,,"FTE Total",160.7,
,,,"Hospital non-specialist","Number of Practitioners",23,
,,,,"FTE Total",27.8,
,,,"Specialist","Number of Practitioners",111,
,,,,"FTE Total",101.4,
,,,"Specialist-in-training","Number of Practitioners",20,
,,,,"FTE Total",17.0,
,,,"Other clinician","Number of Practitioners",8,
,,,,"FTE Total",5.0,
,,"Wanneroo","General practitioner (GP)","Number of Practitioners",212,
,,,,"FTE Total",197.2,
,,,"Hospital non-specialist","Number of Practitioners",5,
,,,,"FTE Total",5.7,
,,,"Specialist","Number of Practitioners",15,
,,,,"FTE Total",12.5,
,,,"Specialist-in-training","Number of Practitioners",19,
,,,,"FTE Total",15.8,
,,"Armadale","General practitioner (GP)","Number of Practitioners",86,
,,,,"FTE Total",85.7,
,,,"Hospital non-specialist","Number of Practitioners",61,
,,,,"FTE Total",66.3,
,,,"Specialist","Number of Practitioners",80,
,,,,"FTE Total",82.1,
,,,"Specialist-in-training","Number of Practitioners",48,
,,,,"FTE Total",48.3,
,,,"Other clinician","Number of Practitioners",4,
,,,,"FTE Total",4.2,
,,"Belmont - Victoria Park","General practitioner (GP)","Number of Practitioners",83,
,,,,"FTE Total",69.5,
,,,"Specialist","Number of Practitioners",12,
,,,,"FTE Total",13.2,
,,,"Specialist-in-training","Number of Practitioners",9,
,,,,"FTE Total",7.9,
,,,"Other clinician","Number of Practitioners",10,
,,,,"FTE Total",7.0,
